category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
coffee,13355.7,13359.7,14420.3,14417.3,14412.3,10135.8,10137.0,10137.6,12445.3,12445.2,12445.6,12598.7,12596.2,12596.1,18798.0,18796.4,22411.1,22385.9,5421.3,5420.4,5420.4,3320.4,3320.5,3321.3,12438.5,12440.1,12436.0,40267.1,40260.9,40287.4,15376.9,15378.3,33812.5,33836.0,35226.4,35251.9,35193.3,53869.9,53902.9,54121.1,66854.0,66893.1,66862.2,35234.1,35308.0,35283.0,88422.3,88564.5,1771404.2,1746461.5,28890.2,28884.6,28890.5,13006.9,13005.0,13006.6,1092.6,1092.6,1092.5,2929.4,2930.8,2932.5,24689.8,24687.4,28.100000,48.759998
coffee,13358.3,13354.5,14419.5,14412.9,14429.3,10160.6,10159.0,10162.3,12443.6,12443.4,12441.9,12602.5,12605.5,12605.8,18794.9,18798.8,22401.8,22376.4,5421.8,5421.1,5422.8,3320.8,3321.1,3322.4,12449.4,12450.3,12444.6,40291.4,40324.8,40312.3,15380.8,15376.2,33813.7,33814.9,35278.1,35287.5,35289.1,53850.4,53945.5,53979.8,66888.6,66882.2,66890.8,35300.0,35326.2,35371.3,88504.6,88577.7,1680406.5,1735515.6,28882.3,28874.8,28887.3,13006.5,13009.7,13005.6,1092.6,1092.6,1092.6,2929.8,2931.2,2932.7,24687.9,24693.5,28.100000,48.700001
coffee,13354.2,13364.0,14405.3,14395.8,14399.7,10156.4,10155.2,10158.4,12444.0,12438.1,12444.9,12601.0,12603.5,12599.5,18791.6,18799.1,22414.0,22385.7,5421.7,5420.6,5421.2,3321.2,3321.1,3322.5,12441.8,12444.3,12444.4,40305.3,40261.7,40282.4,15378.2,15375.4,33811.2,33823.0,35183.7,35201.0,35235.1,53838.4,53941.6,54018.3,66914.5,66913.8,66785.2,35281.7,35330.3,35309.2,88532.9,88480.9,1750312.2,1750827.0,28892.9,28903.6,28901.2,13008.7,13006.0,13007.5,1092.6,1092.6,1092.5,2929.9,2931.4,2932.9,24655.5,24695.5,28.090000,48.520000
coffee,13356.6,13356.2,14408.2,14402.8,14399.4,10139.6,10137.2,10139.1,12433.7,12440.9,12440.2,12599.9,12596.6,12594.5,18791.1,18787.9,22415.1,22373.4,5421.5,5420.9,5422.0,3322.4,3322.6,3323.3,12445.3,12441.6,12439.3,40269.2,40282.4,40286.3,15383.5,15380.7,33835.1,33846.6,35309.6,35304.5,35281.5,53850.9,53899.0,54007.7,66842.3,66907.0,66816.8,35235.5,35305.6,35291.0,88401.3,88548.1,1710091.5,1760144.4,28892.4,28897.1,28898.6,13012.3,13010.2,13006.7,1092.6,1092.6,1092.5,2930.3,2931.9,2933.1,24682.9,24695.8,28.080000,48.529999
coffee,13353.4,13353.1,14388.6,14388.8,14389.6,10126.4,10125.5,10128.7,12443.1,12438.2,12436.3,12590.5,12591.2,12590.2,18791.3,18795.7,22411.3,22374.5,5422.4,5422.2,5422.5,3323.3,3323.3,3324.5,12445.3,12448.3,12444.3,40279.9,40290.3,40313.3,15381.7,15382.4,33815.9,33833.8,35273.1,35241.8,35296.1,53923.4,53967.5,53994.7,66840.8,66939.4,66953.4,35353.4,35362.6,35394.8,88461.8,88559.9,1739318.2,1641940.5,28896.4,28904.5,28888.6,13009.2,13008.7,13009.4,1092.6,1092.5,1092.6,2930.9,2932.4,2933.8,24682.6,24690.8,28.090000,48.650002
coffee,13351.0,13348.0,14382.4,14385.5,14383.7,10123.7,10128.6,10130.3,12438.4,12436.4,12436.0,12593.5,12590.1,12589.2,18788.0,18790.5,22405.6,22376.2,5423.2,5422.0,5422.5,3323.5,3323.6,3324.7,12454.1,12451.1,12450.4,40275.4,40264.7,40287.4,15386.6,15385.8,33802.3,33806.3,35274.4,35281.3,35280.5,53949.1,53931.0,54024.9,66899.9,66849.8,66857.7,35300.6,35344.3,35339.0,88499.3,88424.3,1703485.8,1703973.2,28897.9,28921.8,28931.3,13013.5,13011.4,13011.6,1092.6,1092.6,1092.5,2932.0,2933.5,2934.8,24690.8,24689.5,28.090000,48.759998
coffee,13358.4,13353.3,14388.4,14390.0,14386.0,10197.2,10196.9,10196.7,12435.0,12433.9,12433.8,12609.4,12604.8,12611.8,18794.7,18798.9,22400.5,22374.0,5421.5,5422.6,5422.2,3325.5,3325.5,3326.9,12457.9,12457.7,12457.0,40264.2,40275.1,40268.2,15382.4,15400.2,33839.8,33830.9,35264.3,35285.6,35267.0,53897.5,53919.0,54009.7,66937.9,66808.5,66768.4,35378.1,35387.0,35384.5,88413.1,88369.1,1673086.8,1755991.1,28951.7,28934.3,28949.4,13014.9,13014.0,13015.7,1092.6,1092.6,1092.5,2933.2,2934.7,2936.3,24701.6,24701.8,28.090000,48.669998
coffee,13354.5,13354.8,14379.6,14389.6,14387.8,10224.2,10224.6,10225.5,12435.5,12433.5,12438.8,12620.9,12629.2,12620.2,18802.9,18810.3,22406.9,22373.4,5424.3,5423.3,5422.8,3326.1,3326.2,3327.4,12462.6,12462.3,12462.8,40281.8,40277.6,40286.9,15380.0,15380.4,33784.5,33802.9,35285.2,35252.3,35256.6,53925.9,53964.6,54002.8,66826.2,66816.8,66770.6,35344.3,35365.0,35408.4,88523.7,88433.5,1739826.6,1765102.0,28954.3,28952.6,28949.9,13014.2,13011.6,13011.5,1092.6,1092.5,1092.5,2933.9,2935.6,2937.1,24704.8,24705.3,28.100000,48.520000
coffee,13359.4,13357.8,14383.6,14384.2,14376.7,10245.2,10242.4,10247.2,12432.1,12432.3,12434.2,12624.9,12619.6,12625.4,18796.6,18797.4,22407.0,22382.8,5422.9,5424.4,5424.4,3326.5,3326.6,3327.9,12469.1,12466.9,12466.1,40279.4,40262.8,40270.3,15379.8,15379.0,33812.1,33816.1,35280.3,35249.8,35284.3,53996.7,54006.3,54048.0,66777.0,66728.6,66789.0,35348.0,35416.4,35435.5,88590.9,88595.5,1704949.4,1739318.2,28971.2,28969.1,28955.6,13013.2,13010.1,13012.5,1092.6,1092.5,1092.5,2934.4,2936.2,2937.4,24695.7,24681.6,28.090000,48.310001
coffee,13357.5,13357.2,14375.3,14367.2,14365.0,10260.6,10259.5,10260.8,12434.7,12432.5,12432.3,12632.1,12625.7,12625.6,18794.9,18800.8,22412.4,22376.5,5424.5,5424.4,5423.5,3327.4,3327.5,3328.6,12470.7,12470.0,12469.2,40322.4,40314.3,40310.4,15380.6,15376.4,33804.4,33809.2,35206.5,35199.9,35192.6,53972.2,54058.1,54119.1,66957.9,66852.8,66869.0,35350.7,35402.6,35438.1,88595.5,88452.6,1787895.1,1746461.5,28968.0,28961.3,28975.2,13014.6,13015.6,13014.4,1092.6,1092.6,1092.5,2934.9,2936.2,2937.8,24689.8,24694.6,28.090000,48.180000
